0;3;0;Start;0;0;0;0;0;0;0;0;0;NoOwner
1;0;600000;Gdynia;300000;500000;2500000;20000;100000;300000;900000;1600000;2500000;NoOwner
2;7;0;Kasa1;0;0;0;0;0;0;0;0;0;NoOwner
3;0;600000;Taipei;300000;500000;2500000;40000;200000;600000;1800000;3200000;4500000;NoOwner
4;6;0;Tax1;0;0;0;0;0;0;0;0;0;NoOwner
5;2;2000000;Train;1000000;500000;500000;500000;250000;500000;1000000;2000000;0;NoOwner
6;0;1000000;Tokyo;500000;500000;2500000;60000;300000;900000;2700000;4000000;5500000;NoOwner
7;7;0;Chance1;0;0;0;0;0;0;0;0;0;NoOwner
8;0;1000000;Barcelona;500000;500000;2500000;60000;300000;900000;2700000;4000000;5500000;NoOwner
9;0;1200000;Athens;600000;500000;2500000;80000;400000;1000000;3000000;4500000;6000000;NoOwner
10;5;0;Prison;0;0;0;0;0;0;0;0;0;NoOwner
11;0;1400000;Istanbul;700000;1000000;5000000;100000;500000;1500000;4500000;6250000;7500000;NoOwner
12;2;1500000;Solar Power Plant;750000;500000;500000;500000;250000;500000;1000000;2000000;0;NoOwner
13;0;1400000;Kiev;700000;1000000;5000000;100000;500000;1500000;4500000;6250000;7500000;NoOwner
14;0;1600000;Toronto;800000;1000000;5000000;120000;600000;1800000;5000000;7000000;9000000;NoOwner
15;1;2000000;Plane;1000000;0;0;0;250000;500000;1000000;2000000;0;NoOwner
16;0;1800000;Rome;900000;1000000;5000000;140000;700000;2000000;5500000;7500000;9500000;NoOwner
17;7;0;Kasa2;0;0;0;0;0;0;0;0;0;NoOwner
18;0;1800000;Shanghai;900000;1000000;5000000;140000;700000;2000000;5500000;7500000;9500000;NoOwner
19;0;2000000;Vancouver;1000000;1000000;5000000;160000;800000;2200000;6000000;8000000;10000000;NoOwner
20;5;0;Parking;0;0;0;0;0;0;0;0;0;NoOwner
21;0;2200000;Sydney;1100000;1500000;7500000;180000;900000;2500000;7000000;8750000;10500000;NoOwner
22;7;0;Chance2;0;0;0;0;0;0;0;0;0;NoOwner
23;0;2200000;New York;1100000;1500000;7500000;180000;900000;2500000;7000000;8750000;10500000;NoOwner
24;0;2400000;London;1200000;1500000;7500000;200000;1000000;3000000;7500000;9250000;11000000;NoOwner
25;1;2000000;Ship;1000000;0;0;0;250000;500000;1000000;2000000;0;NoOwner
26;0;2600000;Beijing;1300000;1500000;7500000;220000;1100000;3300000;8000000;9750000;11500000;NoOwner
27;0;2600000;Hong-Kong;1300000;1500000;7500000;220000;1100000;3300000;8000000;9750000;11500000;NoOwner
28;2;1500000;Wind Power Plant;750000;500000;500000;500000;500000;500000;500000;500000;500000;NoOwner
29;0;2800000;Jerusalem;1400000;1500000;7500000;240000;1200000;3600000;8500000;10250000;12000000;NoOwner
30;4;0;Go to Jail;0;0;0;0;0;0;0;0;0;NoOwner
31;0;3000000;Paris;1500000;2000000;10000000;260000;1300000;3900000;9000000;11000000;12750000;NoOwner
32;0;3000000;Belgrade;1500000;2000000;10000000;260000;1300000;3900000;9000000;11000000;12750000;NoOwner
33;7;0;Kasa3;0;0;0;0;0;0;0;0;0;NoOwner
34;0;3200000;CapeTown;1600000;2000000;10000000;280000;1500000;4500000;10000000;12000000;14000000;NoOwner
35;1;2000000;SpaceRocket;1000000;0;0;0;250000;500000;1000000;2000000;0;NoOwner
36;7;0;Chance3;0;0;0;0;0;0;0;0;0;NoOwner
37;0;3500000;Riga;1750000;2000000;10000000;350000;1750000;5000000;11000000;13000000;15000000;NoOwner
38;6;0;Tax2;500000;500000;500000;500000;500000;500000;500000;500000;500000;NoOwner
39;0;4000000;Montreal;2000000;2000000;10000000;500000;2000000;6000000;14000000;17000000;20000000;NoOwner
